"","CTRL_1","CTRL_2","CTRL_3","EXPD4_1","EXPD4_2","EXPD4_3","TPA_1","TPA_2"
"1100001G20Rik",5.21484607735567,4.75816067527729,4.61056637083348,4.59767642876551,4.07801546369958,3.89143614501966,3.91867340073655,4.25979441084223
"1110001A16Rik",4.8106420883461,6.39327294183248,7.14198186025179,6.0128198241463,6.46406209491423,5.91821874967608,6.10962065874971,6.66309832144091
"1110002B05Rik",7.71103742437708,7.52351147109629,9.14842070849192,8.41205848423176,8.42816863894744,8.23642965383244,8.70473036177938,8.56158236774393
"1110002E22Rik",3.81243104380905,3.75797580093117,3.66674987869302,4.94218813965277,3.32717385946536,3.34534228940523,3.29366378047744,3.50093949931178
"1110002L01Rik",6.00157690853142,5.69118611671712,4.74117094305142,4.67852353335518,5.16324536691924,4.82201983987469,5.81736179534043,5.67333561791037
"1110002N22Rik",4.41822385297877,4.95965081201987,3.56409307926599,3.87714479887049,4.11231608350689,3.89478792218519,3.90095053932397,4.23185493452943
"1110003E01Rik",5.83409610763077,5.91325861378989,6.61754524542911,5.58303158216196,6.11830096288602,6.65591452154208,5.67781605590008,6.02407145692804
"1110003F02Rik",5.73462001807914,4.2457243095317,4.73015018550306,5.54356096223736,4.0810143266645,4.20951694388675,4.55497251089031,5.29987616225447
"1110003O08Rik",5.12086107467401,4.64273087669259,6.19369438797681,4.5018931913639,5.13685945619948,5.99256376307796,5.40613296245827,4.73055685098376
"1110004E09Rik",4.3269870169743,4.95649887774309,4.96763397102468,4.9881735943074,5.30618321719179,5.10473647651494,5.17493031911619,5.47768025129059
"1110004F10Rik",8.04980162200101,8.63435430770391,8.96605078128796,8.85081313739895,9.78248801355269,9.28056578548046,9.28945986071842,8.85081313739895
"1110004M10Rik",3.75826770227855,4.33315083370738,4.57217909400272,3.81853804734577,4.69011655364499,5.66851746975022,4.73786752359681,4.78803063562546
"1110005A03Rik",6.84575762574981,5.70135594390398,6.76220256316791,5.59362974140864,5.33139055153567,6.52308738004591,5.98965781421223,5.9277776643148
"1110005A03Rik /// Gm14127",3.46827909375943,3.2923244068233,3.1306243602228,3.39928777821688,2.98755634056692,2.89062046784931,2.90658907815675,3.07839727062271
"1110006E14Rik",2.92761241304539,2.75127979075673,2.66080517960972,2.60901919356582,2.49206873760423,2.62211263932709,2.67045682899999,2.62073711064015
"1110006G14Rik",6.30391488763613,5.61174696792294,5.64825952346376,4.94846315830332,4.8502283022696,5.5057912171096,5.76934160531545,5.88512044142814
"1110006O24Rik",4.14152027710871,3.92310288736281,3.84829804059477,4.12287032834048,4.22163064532096,4.41140498820655,3.86538345943796,4.03716407986994
"1110007A13Rik",4.27644105556772,5.29451273081002,5.03995603227245,4.94157157509224,5.21183043893359,5.32474182119583,5.67052007285315,5.86701234366683
"1110007C09Rik",5.88521013108585,6.26251142056425,6.88614887356298,5.78526036658936,5.6207771384817,6.68956891424321,6.30569888135957,6.28528739342218
"1110008E08Rik",4.90474143327419,4.97482944592784,4.41341551205663,4.62844269611319,4.00573543869934,4.1673171343552,4.20360553905115,4.35845323669242
"1110008F13Rik",4.37842223214219,5.78558282743487,5.70419505547954,5.99465854075611,6.68213875212199,6.54804408620176,6.54177851184044,6.43308643465456
"1110008J03Rik",6.04032259048985,5.76045703753927,5.66767253916393,5.95263708070087,5.38665167202426,5.13831940914419,5.35086962305089,5.28950250509735
"1110008L16Rik",4.64555833263494,4.99813652012013,7.09495090526492,4.40025595856912,5.9624402806189,6.38890213754223,6.79998965979793,5.84325613414611
"1110008P14Rik",6.13512725645046,5.22758395309651,5.9167417616955,5.73540169854885,6.06145857239015,5.71564365433946,5.89138324164798,5.79505015932066
"1110012D08Rik",5.78144554828835,5.0567656633315,5.38637234554034,4.65977312755586,4.77416033205539,5.53585155496432,5.4959727195091,5.02650454386777
"1110012J17Rik",4.22948023504035,4.40007957711211,4.15688554046567,4.56598282055311,5.28088481102247,4.79341719341578,4.18325329795993,3.87836438760489
"1110012L19Rik",4.57932677259434,5.98907155695999,6.22471894011561,5.39647930464514,6.43544952134321,6.88035123036321,6.31512131281043,6.85065915038204
"1110014L15Rik",3.63115216342918,3.98832821364788,2.90915300185059,3.02104744654045,2.57026404589948,2.72626302488883,2.75053805562934,2.73731694710394
"1110014N23Rik",6.19948316417354,6.32486779859145,7.08620045827585,6.77092136183674,6.99533669793434,7.26690326208912,6.90779805420771,6.67684914069211
"1110015M06Rik",3.74213168606475,3.56063447540706,3.24157806941475,3.74639057602442,3.15774634541656,3.10544958742795,3.01307257790462,3.07793242150606
"1110015O18Rik",2.62255462489851,2.69820553147591,2.59214740589433,2.55893919668884,2.48968794352736,2.52939625227832,2.50350045706839,2.60905463545459
"1110017D15Rik",3.49659537436593,4.33285060802721,3.33640969333973,3.35698982227508,3.35910771091228,3.46899534554687,3.38759553242953,3.21054064378587
"1110017F19Rik",8.5953016089032,6.73220317710611,6.4408140552061,5.47890055074127,5.9142482486218,6.37926136729213,5.85211838293687,5.56497715962956
"1110018F16Rik /// Dnajb14",3.84096579210702,3.66477721896439,4.3493037225642,3.09309520410722,3.53109896344571,3.0618810687998,3.4261216797956,3.32625144926755
"1110018G07Rik",4.18271272646209,3.95912126614732,4.25749836535909,4.54991935815179,4.66736740579817,4.99770635667843,5.2729337281497,4.50216195315507
"1110018J18Rik",4.61980079929705,4.68245586531551,5.46982291341715,4.66853392816994,5.80450838223848,6.29346008700145,5.31361637496696,5.30385012224432
"1110018N20Rik",3.9009996418768,4.005282845179,4.10294266439665,4.25317573554523,3.72620378933343,3.78237530701818,3.64938179847863,3.72056641545988
"1110019B22Rik",2.96139891332148,3.77203255961647,2.9469585198129,3.14784219568086,2.7136372294532,2.85867381249241,2.73589298599311,2.97182305405762
"1110019D14Rik",5.41214000711951,4.92323446191898,4.28235014792392,4.12382042660072,4.31571146681664,4.15054429105916,4.21336935261909,4.22791783792685
"1110020A10Rik",3.46282135332075,2.56475462462759,2.90011946435029,4.84754948427439,2.4590413897699,2.48828804518364,2.67012726914684,3.01859367483334
"1110020A21Rik",3.95213735674657,3.78627681844923,3.60434405678841,3.45735007676954,3.54927080113335,3.50577562525182,3.33902288269908,3.48525600016951
"1110020C17Rik",4.89512715714052,4.79120361540503,3.95301546512728,4.52157816591343,4.20823167202792,4.13201223643598,4.15732671756388,4.1467319025525
"1110020G09Rik",3.58639976698258,3.73453886837855,3.36706261389204,3.51658193598945,3.42846238527792,3.73901220290957,3.69259916860705,3.31608965998178
"1110021J02Rik",4.67058151688679,4.802071183665,4.81975700370901,4.8193491497601,4.53564412779231,4.52330582162913,4.84697914126291,4.37025831003612
"1110021L09Rik",3.14679476940529,3.41772858646121,3.68846295494892,3.23166983599119,4.09024946037314,3.44466676161778,3.4926315363893,3.33142042185109
"1110028C15Rik",3.51377642160905,3.57230118758728,3.88973156785989,3.53027269488739,3.63786783444323,3.56478080722943,3.88105498331109,3.97468739993954
"1110028F11Rik",3.61050421776985,3.10144535955645,3.32639375710587,3.3243510617049,3.4076940158247,3.28681422853739,3.29257952653978,3.11555571175052
"1110028F18Rik",3.34736335956307,3.25119010424279,3.42858157924049,3.30487144398579,3.09698938974081,3.34736335956307,2.9803811055806,3.28834841983091
"1110029L17Rik",5.91796169586779,5.71967936360957,5.34638914194423,5.55059062551903,5.79532931985736,5.8750892818892,5.73367315529772,5.20541945602961
"1110031I02Rik",4.84704729276078,5.10893497431896,5.40517556296458,4.9958442665385,6.96443904709794,6.92753867943319,6.76626328288753,5.47056920090444
"1110032A03Rik /// LOC100048251",4.81152663841068,4.75392230682759,4.71283391180948,4.61641579979445,4.09694852763337,5.10340111029404,4.91356999316877,4.75799052361976
"1110032A04Rik",3.4220214718654,3.32067767279379,3.31482722107094,4.26634921684289,3.39597467578241,3.31794996554077,3.17020559220374,3.20195999640553
"1110032A13Rik",6.12157520113075,5.92374441372369,6.15439568476787,6.33013520875774,6.66350885562215,6.82462047372701,6.72883639361379,6.56286301854023
"1110032F04Rik",4.11983435028477,4.0920641442444,4.15652521498335,3.98750093638091,3.8660759537877,3.93105089899581,3.94894360399422,3.9495234400608
"1110034A24Rik",4.23444644474351,3.72179503245108,4.10346369298703,4.54927819208114,5.364802004535,4.70043849923055,5.05561891873437,4.64714942582725
"1110034B05Rik",4.21803601514284,3.62638987157847,5.84892769379179,5.78439058408707,6.60593011856939,5.68972331923805,6.33885122289342,5.46614601899744
"1110034G24Rik",5.39080826013797,5.01158318373496,5.66719400467015,4.66755412227185,5.27457945689435,6.26654641268439,5.32055590977702,5.0880758753508
"1110035E04Rik",3.90866053502628,4.96400408806615,4.45556617928929,4.11851236026773,4.87575459840833,3.74703178135814,4.09015102871037,4.30862287709443
"1110035H17Rik",3.93161893267981,3.89404104900687,4.4025389583534,3.67219807288704,3.22894265627895,3.76101752942894,3.75206650625446,3.75318746577868
"1110035M17Rik",4.28417001002957,4.62820001476725,3.8372218265171,4.19069751524016,3.81164408935887,3.79172351783583,3.74383972373125,4.16668262239985
"1110036O03Rik",6.31763881688186,6.76677873829411,7.50227730597905,6.79447473469359,7.2903643394621,7.87470356631956,6.43023996591105,6.28091304035375
"1110037F02Rik",5.6805256787336,4.57283590669917,5.33983200554434,4.81540277153811,5.50673952325775,5.64719206678275,5.8116737516142,5.84639028362094
"1110038B12Rik",4.32933011508369,7.43665180965807,7.62050566286922,8.02896946200465,7.93970834840784,7.52047631664334,8.24252333672555,8.14179973771989
"1110038D17Rik",4.03478986724804,5.83746748910008,4.02318813866104,4.71111921521809,5.10257297447525,4.40586290510545,4.71509718622708,4.37101083423733
"1110038F14Rik",7.89477111853526,5.27920398571814,7.24312206645526,6.9272423631064,7.07472815365789,7.31105467814353,7.07766668552543,7.7526149241817
"1110046J04Rik",3.4629185566951,3.72090420772382,3.50276854910012,3.6873307073344,3.377187395927,3.40378959297727,3.47685306769519,3.58564387140038
"1110049F12Rik /// LOC100047869",6.44559575856743,5.74590544415283,6.585342928409,6.21672025935957,6.26217308868872,6.06339585792906,6.23126168341215,6.59003170341628
"1110050K14Rik",3.51695797898341,3.42113665038033,3.32463015984196,3.1696981298175,3.29956521680496,3.29356930103499,3.08828382642743,3.33903935308878
"1110050P16Rik",4.53129927761554,4.78836358889583,4.29959759765848,4.0918451510974,3.90198945011003,4.14396822057773,3.9131703463783,3.96667134114855
"1110051M20Rik /// LOC100048133",4.66378737259337,6.58016047209176,5.89129657100137,5.90240839155473,5.31493456409055,5.9121447551576,5.43837392479712,5.44291496572214
"1110054M08Rik",5.3907150318997,5.13088589454466,4.77774606429803,4.62523331908342,4.60084806223586,5.25687299204954,4.40395348228034,4.616105580786
"1110054O05Rik",4.84025721005267,5.40729765496785,5.69496921822326,4.98416991765731,5.56445769646886,5.82921194138276,5.65917308362477,5.75399870441274
"1110057K04Rik",4.20441701537972,4.27564045595383,4.40194475564306,4.04775267315887,4.25339023320087,4.3439825178754,4.54977821981703,4.14939647156344
"1110058L19Rik",5.0981145184631,5.05768644205314,5.60462198393751,5.28912601711509,5.82904106491299,5.95107733532121,6.08556277520827,5.6904684368512
"1110059E24Rik",4.61523967672269,4.53165458601979,4.73353482281774,4.19741378716254,5.47287822707619,4.77586675862661,5.0409064553302,4.62966384842542
"1110059G02Rik",5.51358253561499,3.82556932753231,4.73723625659022,4.30825795972495,3.52139981140212,3.7908233503574,3.61986330216902,3.99803705383605
"1110059G10Rik",3.77921454445116,3.90639665879496,4.25590634595134,3.92154590145127,5.81310647551454,4.77774606429803,4.784488954532,4.94195543944611
"1110059M19Rik",2.82761033658974,2.76529645108245,3.14334018771617,2.7849215488844,2.55894662948324,2.66463706547347,2.53315547752389,2.69019206599312
"1110064A23Rik",5.40364750883563,5.99889874964135,4.90584069247002,4.91777780977853,4.64609776137302,4.69853212402291,4.7654260910023,4.81826785978832
"1110065P20Rik",5.95322708271866,5.46210387092075,5.37133460354881,5.71011855448819,5.97196715375513,5.10565263641901,5.19001180290492,4.742502094332
"1110067D22Rik",4.09925310235451,4.41838860496575,5.12815006335587,7.95161174804576,6.08134641797452,5.04808710287604,5.65074411332184,5.65000803472753
"1110069O07Rik",3.85021995526578,3.78471364060581,3.69456873033835,3.57440184791833,3.38850973127766,3.45198048878373,3.41343761157284,3.52201319790545
"1190002A17Rik",4.91156340411876,4.48684210028816,4.18150437564394,4.50574653450746,3.89512074715898,4.053034152132,4.14208252095473,4.35968942418861
"1190002F15Rik",3.67275828608685,3.63896345328315,3.29777595408586,2.99261998376513,3.16834593542201,3.18923071745532,3.60295997424718,4.41551938376714
"1190002H23Rik",3.5212919529834,4.39305112915294,4.96994037216279,4.09416587259952,3.8147886593677,4.72044997287898,3.88586873597569,3.89291469389494
"1190002N15Rik",4.41363024516884,5.66005727214432,4.50501120415754,4.63357112987568,5.0457556946792,4.82272057682133,5.04712208525074,4.91807057501203
