ENTREZID	log2FoldChange
12847	1.25891442642923
72042	2.49088621619455
12858	1.33102963066481
12858	1.5206401918434
12868	1.05328657904346
432508	1.5605755519856
12913	1.06878970329563
13017	1.57126560464265
54366	1.93201669669038
66642	1.58400961790214
13039	3.46745030482536
75717	1.70781145373577
66427	1.34762296781916
72017	1.05371461053314
266690	1.09661229535372
232174	1.38340757023919
28109	1.89320706942545
223453	1.84500173170918
70248	1.20835232094622
76863	1.67882338756353
66498	1.52567507993447
66942	2.69686037996998
56200	1.40420124427634
68278	1.79471258464306
234374	1.04966298757188
329727	1.35241436108408
67819	1.33934451843679
245474	1.75482531446603
235339	2.7509649651004
235339	2.34037107166273
13382	1.56655361459819
71228	1.37201378155271
15502	1.14510671787318
56445	1.44682104067325
23950	1.81771744891418
27362	1.19505478682991
22791	1.5881040130743
22791	1.47373341219431
13002	1.44193164016002
105638	1.38334560853515
21915	1.89992069452236
13548	1.590957739314
74427	1.66559811945094
27984	1.51368907036515
27984	1.3708042960022
13640	1.69287997705059
20624	1.4505056606233
13660	1.39223737477335
13660	1.39223737477335
13661	2.44392315388351
13664	2.14011628295852
13665	1.31066300216313
67204	1.47379159601782
26905	1.7210461164979
56347	1.37288322543536
26987	1.94389381228954
26987	1.36468110810983
13685	2.11949728324591
217869	1.62897351155435
226982	1.93719748846808
192657	1.96495203945756
74559	1.40036168799623
13800	2.00480700242473
13800	1.287095828926
13800	1.90944728116872
67870	2.09614170316269
93685	1.39684345146332
223527	1.20227458682201
57837	1.04352160462639
76299	1.90231366406328
13885	1.20074088702828
225363	1.41632021753742
225363	1.65302546872819
14026	1.64345355645177
107371	1.62755833060296
107371	1.71246200751343
69639	2.10142774516289
14043	1.73188850540286
107373	1.44574041776306
27999	1.21202859709652
72722	1.54392208503723
66590	1.09951327906328
14114	2.69361580127585
14114	2.30269203799713
101358	1.05395025124246
72194	1.48208808713249
14137	1.554905571395
14155	2.01321473727428
225020	1.2563498060361
14181	1.92597461154401
192176	1.5250970576447
14252	2.47002348836039
14252	4.25250758318571
14281	3.29476165956783
14283	2.48462101791633
232288	2.31364177056835
232288	1.4099996136583
14086	1.85777009268554
14086	3.52301272639527
14319	1.5567323465433
56095	2.05833877031346
66848	1.89800285734451
18550	1.74894616593137
23881	1.76732671916226
353172	1.59215712111148
14450	1.37283653177747
14450	2.38319499932129
67210	1.12389155536034
68133	1.91343172941404
11692	1.26873265125826
14583	1.12759142000025
14660	1.6524228264758
63985	2.76586813361236
14678	1.59275572196642
14682	1.37633437616958
432486	2.08705608900391
14719	1.72171918621391
14719	1.88005068222429
66614	1.13571565441504
237943	2.87984086413168
333433	2.36922784923173
14571	1.98948135875573
67549	1.36221528245806
67839	1.50961058029384
101612	1.88875994997054
14782	1.5498503181915
14873	2.09905439345301
83602	1.82841684889179
66467	1.30002504233115
14950	1.64256909978314
51788	1.29030679692951
51788	1.43713127535989
15115	1.78097439043843
225745	1.38209194911184
225745	1.38209194911184
66296	1.39169812180181
