"","ID","CTRL","TPA","FC","Pvalue","Gene Symbol"
"104","1417928_PM_at",7.8539,9.66308,1.80918,0.00744085626592695,"Pdlim4"
"105","1417978_PM_at",9.96234333333333,8.786635,-1.17570833333333,0.000161454141958001,"Eif4e3"
"106","1418043_PM_at",7.40622333333333,9.57467,2.16844666666667,0.00842357776426479,"Abcc5"
"107","1418051_PM_at",8.47641,9.70851,1.2321,0.0104100352252026,"Ephb6"
"108","1418099_PM_at",7.73233666666667,6.52078,-1.21155666666667,0.0249043463870277,"Tnfrsf1b"
"109","1418136_PM_at",7.78332,6.55587,-1.22745,0.00339675452516665,"Tgfb1i1"
"110","1418238_PM_at",7.76273,8.87868,1.11595,0.00249602715923472,"Ivd"
"111","1418243_PM_at",7.52427333333333,6.10939,-1.41488333333333,0.00189261902097178,"Fcna"
"112","1418259_PM_a_at",7.50935333333333,8.56604,1.05668666666667,0.043151487006997,"Entpd2"
"113","1418266_PM_at",7.91813666666667,6.095925,-1.82221166666667,0.0217604435644737,"Alox12b /// LOC100045755"
"114","1418285_PM_at",8.51889,7.502805,-1.016085,0.0366582885808749,"Efnb1"
"115","1418295_PM_s_at",9.81041333333333,8.4366,-1.37381333333334,0.000907113681422596,"Dgat1"
"116","1418296_PM_at",9.70547,6.63541,-3.07006,0.0145387164410443,"Fxyd5"
"117","1418304_PM_at",8.66907333333333,7.66343,-1.00564333333333,0.0259957464278376,"Cdhr1"
"118","1418321_PM_at",8.45437333333333,9.464075,1.00970166666666,0.00152438736467924,"Dci"
"119","1418359_PM_at",5.92132666666667,7.192475,1.27114833333333,0.0143815413873494,"Wbscr27"
"120","1418382_PM_at",6.81386666666667,8.330205,1.51633833333333,0.0325067483604,"Apcdd1"
"121","1418383_PM_at",7.97378333333333,9.8949,1.92111666666667,0.0178876554686348,"Apcdd1"
"122","1418401_PM_a_at",7.02495666666667,8.062685,1.03772833333333,0.0390024558043343,"Dusp16"
"123","1418456_PM_a_at",9.42576333333333,11.5888,2.16303666666666,0.000706439004150353,"Cxcl14"
"124","1418471_PM_at",7.12021666666667,5.760185,-1.36003166666667,0.0205192736159966,"Pgf"
"125","1418538_PM_at",8.47977333333333,6.652685,-1.82708833333333,0.0211706925965716,"Kdelr3"
"126","1418539_PM_a_at",9.6654,8.2117,-1.4537,0.0296683097994889,"Ptpre"
"127","1418540_PM_a_at",9.05561666666667,7.986195,-1.06942166666667,0.000143497731866232,"Ptpre"
"128","1418569_PM_at",9.93982,6.79686,-3.14296,0.0112947937833474,"Fblim1"
